,Title,Job Description,Compnay Name,Location,Degree Type,Skills
168,Inspection Personnel,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptionthe dangote petroleum refinery, a subsidiary of dangote group, is a state-of-the-art refinery (world’s largest single train refinery) with an integrated petrochemical complex and an unltra-modern fertilizer complex with the largest trains in the world are under construction at lekki, in lagos state. the dangote petrochemical complex consists of dangote oil refinery and petrochemical plant.we are recruiting to fill the position belowjob title: inspection personnellocation: lagos, nigeriadepartment: operationsresponsibilitiesmetallurgical condition monitoringcorrosion and technical integrity monitoringinspection software managementnon destructive testing (ndt).requirementsinterested candidates should possess a bachelor’s degree or diploma in engineering with relevant plant centric experience in a petroleum refinery or polypropylene plant.application closing date7th november, 2021.don't keep! kindly share:",Dangote Petroleum Refinery,Lagos,"ma, bachelor, ond, mpa, nce","attention to details, Health and Safety analysis, decision making skills,Code and conduct specifications, Compliance"
169,Partnerships & Sustainability Associate,"provide support to direct report and the director of partnerships and sustainability in implementing key deliverables of the departmentprovide support in sourcing grant applications track and report on success metrics, including audience reach, engagement, social media participation and moreprovide support in drafting letters, mous and other official documentationbuild tools and templates to strengthen the operations of the partnerships team, including proposal templates and guidance on the partnerships process.support in managing a portfolio of existing partnershipsprovide support in managing partners and stakeholders, including curating, scheduling and documenting partnership correspondenceprovide creative ways of achieving deliverables in a timely manner",Tech4Dev,Abuja,"ond, ma, nce","Art of story telling, project management, Interpersonal skills, innovation skills, SDGoals oriented"
171,Teaching Staff,teaching and writing  skills with ten years of experience.,College of Education,Bauchi,nce,"Conflict resolution, communication skills, Technology skills, listening skills, creativity"
172,Inventory Officer,"job summary responsible for monitoring all inventory transactions in the general ledger.ensure the completeness and accuracy of the cost of inventory at the plant.key duties and responsibilitiesorganise and coordinate periodic physical inventory counts and cycle counts at the plant in line with dcp’s inventory management policies and highlight variances to the team lead, management accounting.maintain the general ledger for dcp’s inventory at the plant.coordinate with production and materials management to reconcile inventory records.perform period closing and related activities for reconciliation of inventory to general ledger.carry out valuation of stock after each count and identify obsolete or disused stock for disposal and write-off.revalue inventory at the new approved standard rates on a periodic basis.perform any other duties as may be assigned by the team lead, management accountingrequirementseducation and work experiencebachelor’s degree or its equivalent in accounting or a related discipline. minimum of five (5) years relevant work experience. relevant professional certification (e.g. aca, acca, cima) will be an added advantage.  skills and competencies good understanding of trends, challenges, opportunities, regulations and legislations relating to the cement manufacturing industry.good knowledge and understanding of finance best practices, ifrs, and other applicable accounting standards. good understanding of sap and inventory control systems with a working knowledge of manufacturing processes.good communication and interpersonal skills.good organisational skills.good data gathering, analysis and problem solving skillshigh ethical standards and integrity.proficiency in the use of ms office tools.benefitsprivate health insurancepaid time offtraining & development",Dangote Industries Limited,Kogi,"ma, bachelor, mma, ma, nce","microsoft office tools, attention to detail, account management, logisticss, communication and organizational skills"
173,Quality Assurance Analyst - Call Centre,"execute all aspects of quality assurance, such as call monitoring, evaluation and calibration scoring.prepare and analyze internal and external quality reports for management staff review.coach, train and develop contact center agentsimplement quality monitoring of data management system to compile and track performance at team and individual level.execute and facilitate call calibration sessions for call center agents.schedule, facilitate and document regular quality – improvement meetings.execute agents’ feedback session and provide feedback to call center team leads and managers.monitor agent performance / behavior in a call centre and coach/counsel agents to modify their performance and facilitate a high level of customer service.perform other duties as assigned.requirement / qualitiesminimum of b.sc or hnd.minimum of 2 years customer service and quality analyst experienceknowledge of appropriate crm software and understanding of the contact center trendsexcellent verbal, written and interpersonal communication skills;outstanding customer service skills and dedication to providing exceptional customer careexceptional listening and analytical skills.solid time-management skills.must be able to effectively deal with people at all levels inside and outside of the companycreative ability & writing proficiency.ability to multitask and successfully operate in a fast paced, team environment.must be proficient with microsoft office (intermediate word, basic excel, powerpoint).",Scimitar Global Services Limited,Lagos,"ma, hnd, b.sc, mpa, ma, nycre, nce","Data and trend reporting, data analysis, diligence, quality assurance, coaching skills"
176,Inventory Accountant,"compensation: n2,400,000 - n3,000,000 annual paykey requirements:• bachelor’s degree with at least a 2:1 grade in accounting, finance or related field• 3+ years’ experience within a stock control environment in a reputable organization• knowledge of stock management practices will be an advantage.• chartered accountant (aca, acca,) and/or a good knowledge of generally accepted accounting principles (gaap) are added advantages.• analytical approach and strong problem-solving skills. comfortable working with large volumes of data across multiple systems.• strong attention to detail, processing accuracy and excellent numerical skills are essential.• ability to apply ethical principles and values and maintain objectivity in appearance and fact.• ability to summarize and present complex data in an organized, concise manner.",AtYourService Technologies,Lagos,"mma, ma, bachelor, nce","microsoft office tools, risk and complaince, planning and organizational skills, business intelligence management skills"
177,Accounting Officer Location,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptionroyal hospital, a national health insurance scheme accredited health care provider and one of the first ever private hospitals located in enugu, is recruiting qualified candidates for immediate employment in the following positions below accounting officer location: enugu  hospital administrator location: enugu  driver location: enugu  nurse / midwife (rn / rm) location: enuguapplication closing datefriday, 17th september, 2021.don't keep! kindly share:",Royal Hospital,Enugu,"mpa, mmed, nce","Financial statement analysis, debt management, cost accounting, management skills, report writing skills"
178,Chief Operating Officer,"shecluded is a digital finance company that offers financial services to women, a  demographic in the nigerian financial industry that is often overlooked and underserved. we are the first of our kind, and we are passionate about creating value and making a lasting impact, not just in the businesses and finances of our clients but on the national economy as a whole. shecluded has already carved a sizable niche for itself in the finance sector, becoming the uk tech. hub 2020, a nasdaq milestone maker cohort 2021 and google black founder africa 2021. we are looking for a dynamic, creative and qualified individual who share these values and will be as dedicated to the growth and development of women-owned businesses in nigeria as we are. if you are one of such people, please don’t hesitate to apply for the position of chief operating officer at shecluded.required qualifications:- a minimum of 2.1 b.sc accounting, finance or economics. an mba or cpa is also highly desirable.- a minimum of 2 years leadership experience, preferably in a financial firm.- adequate knowledge of finance, accounting and taxation.experience with startups or smes.  - good knowledge of different business functions.-  outstanding organizational and leadership skills.-strategic thinking and management skills.-excellent communication skills.-active listening skills. -strong work ethic and self starter.-good interpersonal skills.-working knowledge of data analysis and performance/operation metrics.",Shecluded,Lagos,"ma, b.sc, niche, mba, mpa, nce","Business acumen, Financial management, business development, strategic thinking and planning, contract negotiation"
179,External Facilitator,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptionmedecins du monde (mdm) is an international humanitarian organization whose mission is to provide medical care for the most vulnerable populations, the world over, including france. it seeks to stimulate voluntary commitment from doctors, other health care providers, and from those whose expertise in other fields is needed for its activities, to enlist all competent support required for the achievement of its projects, and to seek at all times to encourage close working relationships with populations in its care. mdm operating in nigeria, borno state since october 2016.we are recruiting to fill the following positions below external facilitator, advanced monitoring, evaluation, accountability and learning location: bornodeadline: 10th november, 2021. mhpss officer location: bornodeadline: 5th november, 2021. mhpss counsellor location: bornodeadline: 5th november, 2021. medical doctor location: bornodeadline: 5th november, 2021. pharmacy assistant location: bornodeadline: 5th november, 2021. monitoring and evaluation supervisor location: bornodeadline: 3rd november, 2021.don't keep! kindly share:",Médecins du Monde,Borno,"ond, mpa, ma, nce","Innovation and technology, negotiation skills, organising and project management skills, strategic planning, project design"
180,Procurement Officer,"source for the most reliable suppliers for items at a reasonable price and ensure supply of good quality raw materials in good time• in depth knowledge on horticulture crops and market scenario• understanding of post-harvest technology and geographical, seasonal yields• should have excellent negotiation skills and establish good relation with farmers and traders• ensuring the raw materials procured meet the company standards• forecasting for pre-harvest and schedule procurement plans for off-seasons• develop and maintain database of farmers for different crops• regularly report and update accounts team on payments and orders secured• should have experience in using erp systems• willing to travel and manage logistics and raw material stocks",Venus Processing & Packaging Limited (subsidiary of Primlaks Group),Lagos,"ma, mpa, nce","Influencing skills, negotiation and persuasion skills, business ethics, stakeholder management, conflict resolution skills"
181,Receptionist,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptionzenith carex was incorporated on 1st november 2002 under the 1968 companies acts of the federal republic of nigeria under registration rc 465 705. we have, in line with our vision, already taken a front line position in the air express industry in less than a decade since our commencement of operations. we have cut a niche as the air express company that can depend upon not only to keep with the terms of our services but more often to exceed customers’ expectations.zenith carex international was established to offer unique air express mail and fright delivery services to our clients in new and innovative ways that would mark clear departure from existing methods.we are recruiting to fill the position belowjob title: receptionistlocation: onitsha, anambraemployment type: full-timejob descriptiondeliver prompt and professional solutions for customer inquiries via phone, email, online chat, etc.maintain documentation of customer inquiries and responses for future reference.direct or route customer calls to appropriate personnel for assistance.handle dissatisfied customers politely and professionally.track and follow-up on all customer request promptly.maintain broad knowledge of all company products, services, and promotions.identify and implement new process plans to improve customer support service.manage a large volume of customer calls in a friendly and courteous manner.provide outstanding and exceptional customer service.greet and address customers in a friendly and respectful way. requirementscandidates should possess hnd / b.sc qualification.must have a minimum of 2 years working experience.must have worked as a office secretaryor receptionist in a reputable organisation.must have excellent customer service experience.must have excellent communication skill.must have very good computer knowledge and be social media savvy.must be based around the job location.residing close to the above locations is an added advantage.salaryn20,000 monthly.application closing date4th november, 2021.don't keep! kindly share:",Zenith Carex International Limited,Anambra,"ma, hnd, b.sc, niche, ond, mpa, nce","written skills, verbal communication skills, customer service, multitasking and prioritizing, familiarity with microsoft office"
182,Customer Service Lead & Marketing  Rep,good interpersonal relationships skillgood command of english ( written and spoken)computer skillable to multitaskfast learnerpoliteteachablehandle pressuregood conflict resolutiongraduate (irrespective of class of degreesalary very attractive,TEXTNG COMMUNICATIONS,Lagos,mma,"prioritization, attentiveness, knowledge of product or service, patience,collaboration,computer skills"
219,Marketing Coordinator,"•	implementation of the planned integrated marketing activities during the year•	researching competitive products and activity by identifying and evaluating product characteristics, advertising activities, pricing.•	keeping up-to-date with the industry’s latest developments, trends, competitors, and promotional opportunities•	organizes customer-focused events, and plans participation of third-party industry-relevant events.•	assist in developing marketing campaigns, social media content, press releases and other marketing communication tools.•	briefing and liaising with third-party vendors (branding, marketing materials, advertising, etc.) in order to ensure compliance with task requirements.•	supporting sales staff by providing sales data, market trends, forecasts, account analyses, new product information•	maintain and ensure the crm is updatedjob requirements•      degree in marketing / mass communication / business administration or a related field.•      2 – 3 years proven relevant experience in marketing/media communications•      basic knowledge of photoshop•      social media management•      good verbal and written communication skills•      excellent creative and business writing skills (emails, press releases, official letters, etc.)",HMD Africa,Lagos,"ma, mpa, nce","communication skills, interpersonal skills, customer skills, creativity skills, analytical skills,technology skills"
222,Cashier,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptioneye foundation hospital group (efhg) is a healthcare group with speciality in eye care services. the eye foundation hospital was started in 1993 as a high tech specialist eye hospital capable of providing services comparable to those obtainable abroad. it is the first and foremost indigenous eye practice in the country that runs a group practice with many sub specialized ophthalmologists.we are recruiting to fill the position belowjob title: cashierlocation: marwa – lekki, lagosemployment type: full-timejob summarythe cashier will be responsible for receiving payment by cash, cheque, direct transfers or vouchers.he/ she will also be responsible for issuing receipt, giving change when necessary to customers.he/ she will also be responsible for posting payment received into necessary entry books and balancing the books at the end of each business day.responsibilitiesresponsible for receiving and confirming bill for patient on the system; if bill amount is correct before collection of payment.in case of cash payment, you must ensure that appropriate amount is paid by verifying the cash paid by the patient.in case of cheque payment, the consultant in charge of the patient must sign the bill approving the cheque collection.in the case of direct lodgment, transfer and pos, transactions must be confirmed approved before proceeding to issuing receipt.receipt(s) will only be issued after payment is made.posting of transaction into the quickbooks appropriately.balance transactions at the end of the day with accountant/ auditor.report sign by both parties on the cash to be lodged.responsible for summarizing corporate bills daily, weekly and monthly.contribute to team effort by accomplishing related results as needed.preparation of weekly and monthly reportsposting of journals.preparation and updating of ledgers.preparation of assigned reports.any other duties as assigned by your supervisor, manager & the medical director from time to time.any other duties assigned by your manager and the medical director.requirementsminimum of a bachelor’s degree preferably in accounting or economics.2 years’ experience in a cashiering role.must be familiar with the use of accounting software.the candidate must be residing in lekki and its environs.skills and competenciesexpert level written and verbal communication skills.attention to detail.ability to multitask.accuratenumerical skillsquick to learn.computer savvy skills: must be an intermediate level user of microsoft office suite (word, excel and powerpoint).application closing date15th november, 2021.don't keep! kindly share:",Eye Foundation Hospital,Lagos,"ma, bachelor, mma, mpa, nce","Point Of Sale(POS) Systems, Multitasking, Basic Maths skills, Efficiency, Product Knowledge"
223,VISA OFFICER,"*skills* : good communication and analytical skills, interpersonal and organizational skills, ability to prioritize and effectively manage challenging workload and priorities, proficiency in relevant i.t software  *duties and responsibilities include:* • working with timeline to ensure all visa applications are properly handled and submitted within the required timeline.• thoroughly engage clients on visa processes to reduce visa refusals• provide accurate, timely and appropriate advice. • develop and maintain good relationship with vfs office and embassies • filling and submission of visa applications• being updated with information on international countries requirements for visa applications and providing the team with such information. • assess applications for migration and/or temporary entry to international countries in accordance with country's law and policy.• provide administrative support to the visa unit• attend to all mails in the visa unit• analyze visa approvals and denials• effectively manage own and team’s caseloads under time pressures• create contents related to visa applications• prepare clear reports of tasks done weekly• deal with a range of clients and stakeholders and respond to enquiries. • meet all departmental standards as advised by the management, this includes but is not limited to the code of conduct, client service standards and record-keeping requirements.•   other duties and assigned by the management.*experience* : 1 year as a visa officer how to applyinterested and qualified candidates should send their cv to: recruitment@tatagency.com using the job title as the subject of the email.",TATAgencyNG,Lagos,"ond, mba, ma, nce","interpersonal skills, attention to detail, problem solving, critical thinking, emotional intelligence"
225,Executive Assistant,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptionoxfam is an international confederation of 17 organizations (affiliates) committed to creating a just world without poverty. in nigeria oxfam works in the areas of economic justice/sustainable livelihoods, humanitarian programming to save lives, advancing gender justice and good governance, adopting a right-based approach.we are recruiting to fill the position belowjob title: executive assistant to the country directorrequisition id: 10489location: abujainternal job grade: d1contract type: 1 year fixed termreporting to: country directorstaff reporting to this post: nonejob purposeto provide administrative and clerical support to the country director (cd) and handle any other official matters.the focus of the post is to maintain a high level of efficiency and professionalism in providing quality administrative, and clerical support to the country director in nigeria.this will involve working closely with the country leadership team (clt) to implement and maintain efficient administrative support systems to meet minimum standards required by the office of oxfam cd.management supportjob responsibilitiesaccountable to the country director for the receipt, management and delivery of information, correspondence, and organizational procedures related to the daily schedule and work of the country directorto maintain a diary of the country director’s corporate invitations, appointments, meetings and follow up on agreed action points to colleaguesarrange travel plans, itineraries, and agendas; and compile documents for travel-related engagements.ensure all needed information and data necessary for programmatic and management reporting are well tracked and recorded.ensure lessons learned and best practices are documented.track prioritize and follow up on incoming issues and concerns addressed to the country director.support the country director to ensure high quality of outgoing information, products, processes, and documents; and guarantee that approval procedures are in compliance with set standards.provide support in the analysis of project proposals, reports, and research documents that come to the office of the country director.provide support to country director in areas of managing the increased and varied workload in association with the new strategic plan and program management.organisationplans, coordinates and ensures the cd’s schedule is followed and respected.works closely and effectively with the cd to inform of upcoming commitments and responsibilities, following up appropriately.prioritizes conflicting needs; handles matters expeditiously, proactively, and follows through on projects to successful completion, often with deadline pressures.strong organizational skills that reflect the ability to perform and prioritize multiple tasks seamlessly with excellent attention to detail.administer the effective personal filing systems of the cd’s office, ensure all resources are shelved accordingly both soft and hard with the system to enable easy access.manage an extremely busy diary, organising meetings, arrange travels including visas and ensure that materials are ready for meetingsscheduling and organising the country director’s activities internally and externally, managing communication internally and externally as directed by the country directorassist in coordinating the agenda of senior management team meetings.write and communicate minutes of the meeting where participation is requiredcommunicationcommunicates efficiently either verbal or written with the country leadership team, staff, and others, on matters related to cd’s task/initiatives/ programsensures that the cd’s personal documents are kept updated and responds to requests for materials regarding the cd and the organization in general as requiredreceive correspondence, edits, and create acknowledgment letters from the cd as appropriateprovides a bridge for smooth communication between the cd’s office and internal departments; demonstrating credibility, trust and support.essentialjob requirements / person specificationa minimum of a bachelor’s degree, a master’s degree in related courses is desirable, with 3-years post-qualification experience.strong and proficient administrative skills, good time-management and organisational skills (ability to maintain a realistic balance among multiple priorities)good interpersonal skills for contacts (visitors, telephone)clear ability to identify what needs to be done, to set priorities and achieve the desired resultsfluent english and an excellent level of written and spoken englishbe highly flexible with outstanding organisational skills, the ability to juggle the demands of the country director and country leadership team, to effectively respond to constantly changing demands.very strong interpersonal skills and the ability to build relationships with stakeholdersemotional maturity: proven ability to handle confidential information with discretion, be adaptable to various competing demands and demonstrate the highest level of customer/client service and responsewillingness and ability to travel domestically and internationallybehavioural attributescollaborative attitudecourage to take initiativeperformance-drivenself-driven to achieveself-motivated, self-starter with a hands-on approach.entrepreneurial spiritdemonstrable ethical conductability to work without direct supervisioninformation seekingorganizational awareness.organizational valuesaccountability – our purpose-driven, results-focused approach means we take responsibility for our actions and hold ourselves accountable. we believe that others should also be held accountable for their actions.empowerment – our approach means that everyone involved with oxfam, from our staff and supporters to people living in poverty, should feel they can make change happen.inclusiveness – we are open to everyone and embrace diversity. we believe everyone has a contribution to make, regardless of visible and invisible differences.application closing date15th november, 2021.don't keep! kindly share:",Oxfam,Abuja,"ma, bachelor, mea, ond, mma, mpa, ma, nce","Email management, Collaboration tools(Slack, Gsuite), Information management, Microsoft office tools, Correspondence"
226,Field Support Technician,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptionttc commenced operation in 2003 as ttc organization and was later, in 2007, registered with the corporate affairs commission as ttc mobile limited. we are in the business of manpower development for the telecom industry, via delivery of practical telecom training. we have over 10 years corporate experience in training delivery.aside our regular corporate training for companies, and retail training for fresh graduates, ttc mobile has successfully deployed various grass-root-oriented trainings programs like free it training(2003), national youth development program(2005), national ict summit(2007), national telecom scholarship (annually, since 2008). in 2010, we were selected as training partner to the federal government’s presidential amnesty program, which implementation commenced in november 2010; we completed this training project in 2011.we are recruiting to fill the following positions below nms engineer location: lagos  field support technician location: lagos  osp planning and design technician locations: abuja and lagos  data centre power system technician location: lagosapplication closing datenot specified.don't keep! kindly share:",TTC Mobile | Your key to emerging markets,Lagos,"ma, s succe, mpa, m sc, nce","trouble shooting skills, customer service skills, organizational skills, communication skills,problem solving"
227,HR Officer,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptionstrugz is a public relations, legal, management and training consulting firm, with a passion to transform minds in a dynamic way that helps its clients find a rhythm and maximize its potential to a maximum capacity.we are recruiting to fill the position belowjob title: hr officerlocation: lekki, lagosemployment type: full-timejob summaryas hr officer, you would undertake a wide range of hr tasks, like handling recruitment, organizing training, administering employee benefits & leaves, and crafting hr policies.responsibilitiesassist with all internal and external hr related inquiries or requests.maintain both hard and digital copies of employees’ records.assist with the recruitment process by identifying candidates, performing reference checks and issuing employment contracts.assist with performance management procedures.schedule meetings, interviews, hr events and maintain agendas.investigate complaints brought forward by employees.coordinate employee development plans and performance management.perform orientations and update records of new staff.produce and submit reports on general hr activity.assist with budget monitoring and payroll.assist with hr projects.support other assigned functions.keep up-to-date with the latest hr trends and best practices.maintain official files and recordsadminister employment contractsperform other related duties as required.qualificationsbachelor’s degree in business administration or relevant field.2+ years proven experience as an hr officer.understanding of general human resources policies and procedures.good knowledge of employment/labour laws.outstanding knowledge of ms office suite.excellent communication and people skills.aptitude in problem-solving.desire to work as a team with a results-driven approach.outstanding communication skills, both written and verbal.excellent organizational and multi-tasking skills.highly motivated team player who is willing to go the extra mile.candidates must reside on the island (lekki-ajah area).salaryn50,000 monthly.application closing date31st august, 2021.don't keep! kindly share:",Strugz Nigeria,Lagos,"ma, bachelor, mma, mpa, ma, nce","CHR, SHRM, CIPD, Microsoft Office applications, Human Resources Management, Benefits Administration"
228,Security Investigator,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptionthe u.s. mission to nigeria comprises of the embassy in abuja, fct, and the consulate general in lagos. u.s. consulate general lagos is the mission’s representative to the nigerian people in the southern region.we are recruiting to fill the position belowjob title: security investigator – all interested candidates (security analyst)announcement number: abuja-2021-111location: abujahiring agency: embassy abujaseries/grade: le – 0705 7work schedule: full-time – 40 hours per weekpromotion potential: le-7overview hiring path: open to the publicwho may apply/clarification from the agency:for usefm – fp is 07. actual fp salary determined by washington d.c.all interested applicants / all sourcessecurity clearance required: public trust – background investigationappointment type: permanentappointment type details: indefinite subject to successful completion of probationary period.summarythe work schedule for this position is: full time (40 hours per week)start date: candidate must be able to begin working within a reasonable period of time (6 weeks) of receipt of agency authorization and/or clearances/certifications or their candidacy may end.supervisory position: norelocation expenses reimbursed: notravel required: 25% or less. occasionally travels and works with other rso sections to gain further understanding of rso operations and threat environment. performs other related duties as assigned.dutiesthe incumbent serves as one of three fsni security analysts embedded within the fsni office which specializes in criminal, threat management and/or terrorist investigations against any department of state equity.the primary purpose of this position is to provide expert guidance and support to office investigations and protective operations.s/he provides technical and analytical support to rso personnel in planning, development, and assisting in information gathering and in criminal, threat management and terrorist investigations including researching, compiling, and providing advice in the interpretation of data pertaining to the issue.works on a rotational shift schedule that includes weekends and holidays.requirementsqualifications and evaluationsexperienceminimum of 3 years professional work experience related to journalism, security administration, politics, or statistics is required.job knowledgemust have a strong understanding of the rules/laws of the country, political climate, and crime and terrorism environment.education requirementsuniversity degree in political science, criminology, statistics, cultural / religious studies, or computer science is required.note: nysc certificate or exemption document is required.evaluationsthis may be tested. please specify your level of proficiency in the language(s) listed.languagegood working knowledge speaking / reading / writing of english is required.good working knowledge of pidgin is required.good working knowledge of any of the three (3) major nigerian languages (hausa, igbo or yoruba) is required.skills and abilitiesproficient in the full microsoft office suite, google applications such as google earth, google hangout and drive and other related computer software.use of office equipment such as fax machine, copiers and scanners is required.ability to analyze open-source reporting and provide statistical information and reporting based on information attained via open source.must have working level (ability to translate) in pidgin and one other native nigerian language.equal employment opportunity (eeo)the u.s. mission provides equal opportunity and fair and equitable treatment in employment to all people without regard to race, color, religion, sex, national origin, age, disability, political affiliation, marital status, or sexual orientation.qualificationsall applicants under consideration will be required to pass medical and security certifications.benefitsbenefits and other infoagency benefitslocally employed staff, including members of household (mohs), and third-country nationals (tcns), working at the u.s. mission in abuja, nigeria may receive a compensation package that may include health, separation, and other benefits.for efms, benefits should be discussed with the human resources office.the pay plan is assigned at the time of the conditional offer letter by the hr office.other informationhiring preference selection process: applicants in the following hiring preference categories are extended a hiring preference in the order listed below. therefore, it is essential that these applicants accurately describe their status on the application. failure to do so may result in a determination that the applicant is not eligible for a hiring preference.hiring preference orderaefm / usefm who is a preference-eligible u.s. veteran*aefm / usefmfs on lwop and cs with reemployment rights ** importantapplicants who claim status as a preference-eligible u.s. veteran must submit a copy of their most recent dd-214 (“certificate of release or discharge from active duty”), equivalent documentation, or certification. a “certification” is any written document from the armed forces that certifies the service member is expected to be discharged or released from active duty service in the armed forces under honorable conditions within 120 days after the certification is submitted by the applicant. the certification letter should be on letterhead of the appropriate military branch of the service and contain (1) the military service dates including the expected discharge or release date; and (2) the character of service. acceptable documentation must be submitted in order for the preference to be given.** this level of preference applies to all foreign service employees on lwop and cs with re-employment rights back to their agency or bureau.for more information (i.e., what is an efm, usefm, aefm, moh, etc.?) and for additional employment considerations, please visit the following link.marketing statementwe encourage you to read and understand the eight (8) qualities of overseas employees before you apply.salaryngn6,445,212 (usd38,056) annually.application closing date16th november, 2021.don't keep! kindly share:",U.S. Embassy,Abuja,"ma, ond, mba, mma, mbed, mpa, ma, nce","analytical, research, investigative,observational skills,photography"
229,Head of Programmes and Influencing,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptionoxfam is an international confederation of 17 organizations (affiliates) committed to creating a just world without poverty. in nigeria oxfam works in the areas of economic justice/sustainable livelihoods, humanitarian programming to save lives, advancing gender justice and good governance, adopting a right based approach.we are recruiting to fill the following positions below head of programmes and influencing (deputy country director) location: abujadeadline: not specified. gender coordinator location: abujadeadline: 2nd november, 2021. communications officer location: abujadeadline: 26th october, 2021. business development advisor location: abujadeadline: 26th october, 2021.don't keep! kindly share:",Oxfam,Abuja,"mpa, ma, nce","excellent written and spoken skills, negotiation and influencing skills, networking, monitoring,leadership,analytical"
231,Customer Service Executive,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptionpruvia integrated limited – we are general service merchants with a strong desire to ensure customer satisfaction in the midst of efficient and effective service delivery. we offer a wide range of services. these services are delivered with skilled and experience guided by our core values and driven by our belief that impossibility is nothing.we are recruiting to fill the position belowjob title: customer service executivelocations: ikeja & akowonjo, lagosjob briefwe are looking for a customer-oriented service executive. who will act as a liaison, provide product/services information, answer questions, and resolve any emerging problems that our customer accounts might face with accuracy and efficiency.responsibilitiesmanage large amounts of incoming phone calls.generate sales leads.identify and assess customers’ needs to achieve satisfaction..build sustainable relationships and trust with customer accounts through open and interactive communicationprovide accurate, valid and complete information by using the right methods/tools.meet personal/customer service team sales targets and call handling quotas.handle customer complaints, provide appropriate solutions and alternatives within the time limits; follow up to ensure resolution.keep records of customer interactions, process customer accounts and file documents.requirements2 years proven customer support experience, customer service executive and telemarketing.track record of over-achieving quota.strong phone contact handling skills and active listening.familiarity with crm systems and practices.customer orientation and ability to adapt/respond to different types of characters.must be computer savvy.excellent communication and presentation skills.ability to multi-task, prioritize, and manage time effectively.female preferably.applicants must be fluent in yoruba language.remunerationn50,000 – n80,000 monthly.application closing date15th november, 2021.don't keep! kindly share:",Pruvia Integrated Limited,Lagos,"ond, mpa, ma, nce","General Managerial/Administration, CRM systems, Microsoft Excel, Word, PowerPoint"
